Data;BD;BS;PT;BTN A;BTN B;BTN C;Preço
31/12/2025;V;C;0,1856098;0,0224686;0,0306301;0,0353091;85,
31/12/2025;V;C;0,1885066;0,0232319;0,0317023;0,0373713;85,
31/12/2025;V;C;0,194084;0,0240119;0,0328149;0,0394694;85,
31/12/2025;V;C;0,199681;0,0248515;0,0340111;0,0415687;85,
31/12/2025;V;C;0,2050828;0,0256966;0,0351173;0,043537;85,
31/12/2025;V;C;0,2101028;0,0264903;0,0360265;0,0453069;85,
31/12/2025;V;C;0,2147136;0,0272032;0,036806;0,0468759;85,
31/12/2025;V;C;0,2190039;0,0278892;0,0375435;0,0483943;85,
31/12/2025;C;C;0,223039;0,0285554;0,0383073;0,0497835;85,
31/12/2025;C;C;0,2267622;0,0292136;0,0389656;0,0510151;85,
31/12/2025;C;C;0,2301745;0,0298595;0,0395453;0,0520504;85,
31/12/2025;C;C;0,2333242;0,0305268;0,0400581;0,052984;85,
31/12/2025;C;C;0,2379162;0,0311699;0,0406518;0,053893;85,
31/12/2025;C;C;0,2407164;0,0317701;0,0412739;0,0547673;85,
31/12/2025;C;C;0,2432047;0,0323668;0,0419682;0,0556888;85,
31/12/2025;C;C;0,2450961;0,0330403;0,0424943;0,0562847;85,
31/12/2025;C;C;0,2460099;0,0337733;0,0428881;0,0564274;85,
31/12/2025;C;C;0,2458377;0,0345249;0,0430201;0,0558837;85,
31/12/2025;C;C;0,2447043;0,0352724;0,0429772;0,054975;85,
31/12/2025;C;C;0,2429832;0,0360578;0,0428469;0,0538825;85,
31/12/2025;C;C;0,2408136;0,0367501;0,0425337;0,0526955;85,
31/12/2025;C;C;0,2381656;0,0373377;0,0420476;0,0513413;85,
31/12/2025;C;C;0,2334263;0,0378741;0,0414199;0,0497981;85,
31/12/2025;C;C;0,229895;0,0386094;0,0407701;0,0479196;85,
31/12/2025;C;C;0,2260851;0,0392241;0,0400739;0,0458442;85,
31/12/2025;C;C;0,2222493;0,0396948;0,0392609;0,0436398;85,
31/12/2025;C;C;0,2186619;0,0397817;0,0384715;0,0415469;85,
31/12/2025;C;C;0,2152995;0,0399083;0,0377826;0,0397265;85,
31/12/2025;C;C;0,2120802;0,0399944;0,037233;0,0383051;85,
31/12/2025;C;C;0,2091844;0,0401868;0,0368215;0,0372729;85,
31/12/2025;C;C;0,2067441;0,0402826;0,0365796;0,0365344;85,
31/12/2025;C;C;0,2047213;0,0404587;0,0365765;0,036072;85,
31/12/2025;C;C;0,203137;0,0406554;0,036677;0,0358473;85,
31/12/2025;C;C;0,2019295;0,0410062;0,0368306;0,0358214;85,
31/12/2025;C;C;0,2010467;0,041379;0,0370469;0,035904;85,
31/12/2025;C;C;0,2004037;0,0417693;0,0373977;0,036099;85,
31/12/2025;C;C;0,1999287;0,042124;0,0379157;0,0363359;85,
31/12/2025;C;C;0,1994796;0,0423443;0,0383411;0,0365899;85,
31/12/2025;C;C;0,1989584;0,042387;0,0385949;0,0368416;85,
31/12/2025;C;C;0,1983699;0,0419826;0,0386798;0,0369786;85,
31/12/2025;C;C;0,1978952;0,0414893;0,0387422;0,0371869;85,
31/12/2025;C;C;0,1978835;0,0408988;0,0389122;0,0374757;85,
31/12/2025;C;C;0,198458;0,0407612;0,0391635;0,0380062;85,
31/12/2025;C;C;0,1995784;0,0409375;0,0395116;0,0385997;85,
31/12/2025;C;C;0,2008715;0,0415557;0,0398441;0,0390195;85,
31/12/2025;C;C;0,2020678;0,0426604;0,0401999;0,0392502;85,
31/12/2025;C;C;0,2029505;0,0438247;0,0403899;0,0391682;85,
31/12/2025;C;C;0,2032706;0,0449738;0,0403614;0,0388859;85,
31/12/2025;C;C;0,2045931;0,0454508;0,039995;0,038411;85,
31/12/2025;C;C;0,2038874;0,045507;0,0395004;0,0379043;85,
31/12/2025;C;C;0,2031044;0,0451472;0,039063;0,0374549;85,
31/12/2025;C;C;0,2024717;0,0447399;0,0387192;0,0370762;85,
